0,36,id not found,signal not found,2024-07-06 03:35:28.183,2024-07-06 03:35:28.636,21.03711795,105.75761338,8.58,453.0
1,37,id not found,signal not found,2024-07-06 03:35:29.185,2024-07-06 03:35:29.641,21.03711795,105.75761338,8.58,456.0
2,38,id not found,signal not found,2024-07-06 03:35:30.185,2024-07-06 03:35:30.639,21.03711795,105.75761338,8.58,454.0
3,39,id not found,signal not found,2024-07-06 03:35:31.187,2024-07-06 03:35:31.642,21.03711795,105.75761338,8.58,455.0
4,40,id not found,signal not found,2024-07-06 03:35:32.190,2024-07-06 03:35:32.652,21.03711795,105.75761338,8.58,462.0
5,41,id not found,signal not found,2024-07-06 03:35:33.192,2024-07-06 03:35:33.656,21.03711795,105.75761338,8.58,464.0
6,42,id not found,signal not found,2024-07-06 03:35:34.195,2024-07-06 03:35:34.684,21.03711795,105.75761338,8.58,489.0
7,43,id not found,signal not found,2024-07-06 03:35:35.196,2024-07-06 03:35:35.657,21.03711795,105.75761338,8.58,461.0
8,44,id not found,signal not found,2024-07-06 03:35:36.197,2024-07-06 03:35:36.657,21.03711795,105.75761338,8.58,460.0
9,45,id not found,signal not found,2024-07-06 03:35:37.199,2024-07-06 03:35:37.656,21.03711795,105.75761338,8.58,457.0
10,46,id not found,signal not found,2024-07-06 03:35:38.203,2024-07-06 03:35:38.654,21.03711795,105.75761338,8.58,451.0
11,47,id not found,signal not found,2024-07-06 03:35:39.204,2024-07-06 03:35:39.662,21.03711795,105.75761338,8.58,458.0
12,48,id not found,signal not found,2024-07-06 03:35:40.205,2024-07-06 03:35:40.666,21.03711795,105.75761338,8.58,461.0
13,49,id not found,signal not found,2024-07-06 03:35:41.206,2024-07-06 03:35:41.656,21.03711795,105.75761338,8.58,450.0
14,50,id not found,signal not found,2024-07-06 03:35:42.207,2024-07-06 03:35:42.674,21.03711795,105.75761338,8.58,467.0
15,51,id not found,signal not found,2024-07-06 03:35:43.208,2024-07-06 03:35:43.667,21.03711795,105.75761338,8.58,459.0
16,56,id not found,signal not found,2024-07-06 03:35:48.212,2024-07-06 03:35:48.676,21.03711795,105.75761338,8.58,464.0
17,57,id not found,signal not found,2024-07-06 03:35:49.213,2024-07-06 03:35:49.677,21.03711795,105.75761338,8.58,464.0
18,58,id not found,signal not found,2024-07-06 03:35:50.213,2024-07-06 03:35:50.663,21.03711795,105.75761338,8.58,450.0
19,59,id not found,signal not found,2024-07-06 03:35:51.213,2024-07-06 03:35:51.665,21.03711795,105.75761338,8.58,452.0
20,60,id not found,signal not found,2024-07-06 03:35:52.213,2024-07-06 03:35:52.683,21.03711795,105.75761338,8.58,470.0
21,61,id not found,signal not found,2024-07-06 03:35:53.213,2024-07-06 03:35:53.673,21.03711795,105.75761338,8.58,460.0
22,62,id not found,signal not found,2024-07-06 03:35:54.217,2024-07-06 03:35:54.680,21.03711795,105.75761338,8.58,463.0
23,63,id not found,signal not found,2024-07-06 03:35:55.219,2024-07-06 03:35:55.681,21.03711795,105.75761338,8.58,462.0
24,64,id not found,signal not found,2024-07-06 03:35:56.221,2024-07-06 03:35:56.693,21.03711795,105.75761338,8.58,472.0
25,65,id not found,signal not found,2024-07-06 03:35:57.222,2024-07-06 03:35:57.684,21.03711795,105.75761338,8.58,462.0
